Abbreviation,Full Name,Other Nomenclatures
AF,Arcuate Fasciculus,
C_FPH,"Cingulum, Frontal Parahippocampal Segment",
C_FP,"Cingulum, Frontal Parietal Segment",
C_PH,"Cingulum, Parahippocampal Segment",
C_PHP,"Cingulum, Parahippocampal Parietal Segment",Sledge Runner Fasciculus
C_PR,"Cingulum, Parolfactory Segment",
CBT,Corticobulbar Tract,
CST,Corticospinal Tract,
CStr_A,"Corticostriatal Tract, Anterior Segment",
CStr_P,"Corticostriatal Tract, Posterior Segment",
CStr_S,"Corticostriatal Tract, Superior Segment",
CTh_A,"Coricothalamic Tract, Anterior Segment",Anterior Thalamic Radiation
CTh_P,"Coricothalamic Tract, Posterior Segment",Posterior Thalamic Radiation
CTh_S,"Coricothalamic Tract, Superior Segment",Superior Thalamic Radiation
F,Fornix,
FAT,Frontal Aslant Tract,
IFOF,Inferior Fronto Occipital Fasciculus,
ILF,Inferior Longitudinal Fasciculus,
MdLF,Middle Longitudinal Fasciculus,
OR,Optic Radiation,Meyer's Loop
TPAT,Temporo-Parietal Aslant Tract,"Posterior Arcuate Fasciculus, Vertical Arcuate Fasciculus"
SLF_I,Superior Longitudinal Fasciculus1,
SLF_II,Superior Longitudinal Fasciculus2,Dorsal SLF
SLF_III,Superior Longitudinal Fasciculus3,"Ventral SLF, Long segment of Arcuate Fasciulus "
UF,Uncinate Fasciculus,
VOF,Vertical Occipital Fasciculus,
