,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F
TGd,,4%,,26%,,,,,,0%,35%,82%,100%,,100%,,,,,1%,0%,,,,,,,,,,,,,,,,,64%,100%,,100%,,,,,,,,,,,
STSva,,83%,,64%,,,,,,,,,99%,0%,41%,,,,,,,,,,,,,,,10%,,,,,,,,,98%,0%,15%,,,,,,,,,,,
TE1a,,94%,,64%,,,,,,,,,99%,,48%,,,,,,,,,,,,,,,0%,,,,,,,,,99%,,35%,,,,,,,,,,,
STSda,,59%,,78%,,,,,,,,,100%,,66%,,,,,,,,,,,,,,,37%,,,,,,,,,100%,,54%,,,,,,,,,,,
STGa,,0%,,72%,,,,,,,,,100%,,100%,,,,,,,,,,,,,0%,,0%,,,,,,,,,100%,,99%,,,,,,,,,,,
PoI1,,,,36%,,,,,,,,,100%,90%,95%,,,,,87%,48%,,,,,,,,,,,,,,,,,,98%,100%,93%,,,,1%,28%,48%,,,,,
PI,,2%,,93%,,,,,,,,,100%,79%,98%,,,,,47%,,,,,,,,,,56%,,,,,,,,,100%,90%,84%,,,,,11%,4%,,,,,
TA2,,20%,,99%,,,,,,,,,100%,0%,17%,,,,,2%,,,,,,,,7%,,93%,,,,,,,,,99%,0%,4%,,,,0%,4%,10%,,,,,
MBelt,,14%,,100%,,,,,,,,,96%,0%,,,,,,2%,3%,,,,,,,0%,,100%,,,,,,,,,83%,,,,,,,0%,18%,,,6%,,
